Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
es70fst07.stp,62631217.0,63251707.0,62883358.8,16203.201,17391.419,16712.165,4.41,1.01,2.9,10
es70fst08.stp,62976609.0,63516171.0,63254479.2,31978.414,34953.372,33186.666,6.25,1.92,4.44,10
es70fst09.stp,62604290.0,63224084.0,62859225.3,14722.728,16129.18,15356.659,7.09,0.71,3.6,10
es70fst10.stp,63424888.0,64217185.0,63852591.2,15948.881,17615.051,16794.922,5.95,1.55,3.65,10
es70fst11.stp,67638539.0,68012328.0,67865987.3,17917.615,20138.476,19166.21,5.76,2.08,3.35,10
es70fst12.stp,63047132.0,63446877.0,63216941.8,10590.409,11159.524,10897.98,4.9,0.56,2.52,10
es70fst13.stp,63432283.0,64029971.0,63840817.6,13165.458,14796.654,13895.631,4.02,0.73,2.13,10
es70fst14.stp,60577694.0,60870482.0,60714910.4444,14491.081,15582.579,14813.678,8.06,0.74,4.64,9
es70fst15.stp,63042875.0,63377918.0,63250758.7,19474.261,21188.579,20088.557,4.77,3.13,3.87,10
es80fst01.stp,70992797.0,71757857.0,71393875.1,26271.344,28068.298,27281.036,4.77,0.87,3.0,10
es80fst02.stp,65646242.0,66783341.0,66274975.7,23162.494,24460.623,23694.157,7.96,2.7,4.59,10
es80fst03.stp,63887905.0,64356683.0,64172623.6,21782.449,24618.114,22594.976,5.0,0.64,3.21,10
es80fst04.stp,63777802.0,64270874.0,63980449.2,22512.549,24119.984,23407.282,4.82,1.14,2.87,10
es80fst05.stp,66418239.0,67152519.0,66774427.7,23554.045,26461.827,24892.504,5.99,2.22,4.0,10
es80fst06.stp,71359520.0,71619295.0,71469276.3,16996.644,19059.634,17824.373,3.24,0.64,1.83,10
es80fst07.stp,68501581.0,69327571.0,68894286.5,20276.717,22805.706,21562.113,6.67,0.12,4.1,10
es80fst08.stp,68065771.0,68779007.0,68356611.2,29734.636,32473.881,31240.98,6.26,2.1,4.31,10
es80fst09.stp,71431975.0,72152727.0,71817091.9,35865.608,41154.483,38790.016,4.65,1.34,3.38,10
es80fst10.stp,65626345.0,65813451.0,65698476.2,24363.598,26213.057,25129.431,3.32,1.11,2.01,10
es80fst11.stp,66781033.0,67543957.0,67191103.5,29643.221,30957.423,30182.113,5.6,0.64,2.92,10
es80fst12.stp,65399339.0,65802807.0,65552391.1111,14173.531,14792.672,14555.464,5.7,1.13,3.12,9
es80fst13.stp,67422300.0,67855530.0,67626788.8,15189.058,16658.782,15898.263,4.07,1.83,2.94,10
es80fst14.stp,70621465.0,71366451.0,70990725.6,25895.098,27705.785,26945.959,4.97,0.95,3.14,10
es80fst15.stp,70659076.0,71339388.0,70959834.5,21462.87,24496.355,22967.137,6.5,1.2,3.7,10
es90fst01.stp,68414315.0,68854939.0,68538479.4,23861.706,24770.773,24374.092,2.41,0.81,1.79,10
es90fst02.stp,72060083.0,72592427.0,72369975.9,30855.579,35030.508,32560.543,4.59,1.89,2.9,10
es90fst03.stp,75799267.0,76343499.0,76078493.0,47682.689,53592.071,50545.981,3.68,1.22,2.48,10
es90fst04.stp,71364097.0,71762174.0,71503002.5,24856.933,27259.637,26027.823,5.4,0.53,2.44,10
es90fst05.stp,72426606.0,73137523.0,72713865.6,24403.594,26111.917,25268.796,5.32,1.56,3.19,10
es90fst06.stp,69171752.0,69568151.0,69345840.7,25714.901,27882.092,27192.324,3.31,0.35,2.19,10
es90fst07.stp,72470325.0,72784731.0,72587990.0,27944.983,29324.638,28690.92,5.04,0.47,2.51,10
es90fst08.stp,72709544.0,73352130.0,73039230.4,30207.87,32911.008,31426.889,4.35,0.82,2.93,10
es90fst09.stp,68516339.0,69457755.0,68889385.1,44330.302,51715.86,48153.921,4.6,2.38,3.62,10
es90fst10.stp,73436716.0,74700869.0,74132548.9,47780.104,53499.621,50348.494,5.45,1.41,3.6,10
es90fst11.stp,73224855.0,74114478.0,73773928.9,44261.322,48226.041,46906.076,5.87,2.32,4.22,10
es90fst12.stp,69689376.0,71066428.0,70492071.6,43492.023,47770.493,45618.887,7.42,3.37,4.56,10
es90fst13.stp,73936428.0,74565403.0,74165417.0,39818.435,44056.925,42206.843,7.7,1.3,4.52,10
